Date,High,Low,Open,Close,Volume,Adj Close
1993-08-09,45.34375,45.0,45.09375,45.21875,828200.0,26.489957809448242
1993-08-10,45.21875,45.125,45.1875,45.1875,604900.0,26.471651077270508
1993-08-11,45.3125,45.15625,45.15625,45.1875,542200.0,26.471651077270508
1993-08-12,45.3125,44.90625,45.3125,45.0625,303700.0,26.398414611816406
1993-08-13,45.15625,45.09375,45.09375,45.125,103500.0,26.435016632080078
1993-08-16,45.5,45.15625,45.15625,45.375,241800.0,26.581478118896484
1993-08-17,45.53125,45.34375,45.34375,45.53125,369300.0,26.673015594482422
1993-08-18,45.875,45.65625,45.6875,45.78125,414300.0,26.819480895996094
1993-08-19,45.8125,45.71875,45.8125,45.78125,28500.0,26.819480895996094
1993-08-20,45.8125,45.65625,45.6875,45.8125,80700.0,26.837778091430664
1993-08-23,45.75,45.625,45.625,45.71875,15600.0,26.782861709594727
1993-08-24,46.21875,45.71875,45.71875,46.21875,273400.0,27.075769424438477
1993-08-25,46.4375,46.15625,46.21875,46.25,242300.0,27.094074249267578
1993-08-26,46.53125,46.09375,46.28125,46.28125,120000.0,27.112375259399414
1993-08-27,46.25,46.15625,46.15625,46.25,25700.0,27.094074249267578
1993-08-30,46.5,46.28125,46.28125,46.4375,183500.0,27.203907012939453
1993-08-31,46.5625,46.34375,46.40625,46.5625,66500.0,27.277132034301758
1993-09-01,46.59375,46.40625,46.40625,46.5,136500.0,27.240535736083984
1993-09-02,46.59375,46.3125,46.53125,46.34375,472400.0,27.14899253845215
1993-09-03,46.4375,46.25,46.3125,46.375,630500.0,27.167314529418945
1993-09-07,46.4375,46.0,46.375,46.0625,196400.0,26.984243392944336
1993-09-08,46.0625,45.59375,46.0625,45.90625,269900.0,26.892698287963867
1993-09-09,46.03125,45.71875,45.71875,46.0,239200.0,26.94761085510254
1993-09-10,46.4375,46.0625,46.125,46.40625,106500.0,27.185617446899414
1993-09-13,46.5625,46.4375,46.5625,46.4375,66900.0,27.203907012939453
1993-09-14,46.3125,46.09375,46.3125,46.25,184500.0,27.094074249267578
1993-09-15,46.40625,45.90625,46.0625,46.375,101000.0,27.167314529418945
1993-09-16,46.34375,46.15625,46.3125,46.1875,54300.0,27.057466506958008
1993-09-17,45.90625,45.75,45.875,45.8125,200900.0,27.0049991607666
1993-09-20,45.96875,45.4375,45.875,45.4375,57800.0,26.783960342407227
1993-09-21,45.5625,44.8125,45.5,45.28125,318200.0,26.691843032836914
1993-09-22,45.71875,45.375,45.4375,45.65625,439700.0,26.912904739379883
1993-09-23,45.9375,45.71875,45.78125,45.90625,88500.0,27.06025505065918
1993-09-24,45.875,45.71875,45.84375,45.78125,53500.0,26.986574172973633
1993-09-27,46.28125,46.125,46.125,46.28125,274600.0,27.281299591064453
1993-09-28,46.3125,46.15625,46.3125,46.1875,158300.0,27.226057052612305
1993-09-29,46.3125,45.96875,46.1875,46.03125,221000.0,27.13394546508789
1993-09-30,46.125,45.84375,46.03125,45.9375,99300.0,27.078691482543945
1993-10-01,46.21875,45.8125,45.875,46.15625,22700.0,27.207645416259766
1993-10-04,46.21875,46.09375,46.21875,46.21875,1038500.0,27.24447250366211
1993-10-05,46.3125,46.0,46.3125,46.15625,436500.0,27.207645416259766
1993-10-06,46.375,46.125,46.1875,46.125,209200.0,27.189212799072266
1993-10-07,46.1875,45.96875,46.1875,46.0,59400.0,27.11551856994629
1993-10-08,46.15625,45.71875,46.125,46.0625,54400.0,27.152362823486328
1993-10-11,46.25,46.15625,46.15625,46.15625,467100.0,27.207645416259766
1993-10-12,46.25,46.1875,46.21875,46.21875,26200.0,27.24447250366211
1993-10-13,46.25,46.15625,46.25,46.21875,139100.0,27.24447250366211
1993-10-14,46.8125,46.28125,46.40625,46.8125,108100.0,27.59445571899414
1993-10-15,47.15625,46.90625,47.03125,47.0625,1502500.0,27.741836547851562
1993-10-18,47.03125,46.875,47.03125,46.9375,722400.0,27.66815757751465
1993-10-19,46.96875,46.59375,46.875,46.59375,880100.0,27.465526580810547
1993-10-20,46.75,46.5625,46.75,46.65625,230400.0,27.502357482910156
1993-10-21,46.6875,46.53125,46.6875,46.59375,56200.0,27.465526580810547
1993-10-22,46.84375,46.375,46.65625,46.375,390700.0,27.336576461791992
1993-10-25,46.5625,46.28125,46.40625,46.5,114500.0,27.41026496887207
1993-10-26,46.5,46.3125,46.46875,46.46875,186200.0,27.39183807373047
1993-10-27,46.53125,46.40625,46.40625,46.5,118400.0,27.41026496887207
1993-10-28,46.96875,46.5625,46.5625,46.84375,129600.0,27.612895965576172
1993-10-29,46.875,46.78125,46.8125,46.84375,80700.0,27.612895965576172
1993-11-01,47.0,46.78125,46.78125,46.96875,36400.0,27.686565399169922
1993-11-02,47.0,46.65625,46.90625,46.9375,262100.0,27.66815757751465
1993-11-03,46.90625,46.125,46.90625,46.34375,479100.0,27.318145751953125
1993-11-04,46.34375,45.8125,46.34375,45.84375,130400.0,27.02341651916504
1993-11-05,46.0625,45.53125,45.71875,46.0625,363200.0,27.152362823486328
1993-11-08,46.25,45.96875,46.09375,46.125,367600.0,27.189212799072266
1993-11-09,46.46875,46.125,46.4375,46.15625,246900.0,27.207645416259766
1993-11-10,46.5,46.03125,46.15625,46.5,46500.0,27.41026496887207
1993-11-11,46.625,46.34375,46.5,46.375,88900.0,27.336576461791992
1993-11-12,46.75,46.4375,46.46875,46.59375,108200.0,27.465526580810547
